Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat słupecki,2017.0,62.0,52.0,3.0
powiat słupecki,2018.0,57.0,53.0,3.0
powiat słupecki,2019.0,85.0,71.0,4.0
powiat słupecki,2020.0,43.0,41.0,2.0
powiat słupecki,2021.0,72.0,49.0,2.0
powiat słupecki,2022.0,50.0,40.0,4.0
powiat kościerski,2011.0,209.0,144.0,14.0
powiat kościerski,2012.0,168.0,126.0,10.0
powiat kościerski,2013.0,163.0,120.0,9.0
powiat kościerski,2014.0,208.0,140.0,7.0
powiat kościerski,2015.0,184.0,133.0,9.0
powiat kościerski,2016.0,243.0,175.0,9.0
powiat kościerski,2017.0,209.0,143.0,4.0
powiat kościerski,2018.0,201.0,137.0,8.0
powiat kościerski,2019.0,194.0,133.0,8.0
powiat kościerski,2020.0,85.0,63.0,9.0
powiat kościerski,2021.0,93.0,71.0,6.0
powiat kościerski,2022.0,69.0,53.0,10.0
powiat włoszczowski,2011.0,82.0,62.0,7.0
powiat włoszczowski,2012.0,52.0,46.0,2.0
powiat włoszczowski,2013.0,57.0,39.0,6.0
powiat włoszczowski,2014.0,54.0,38.0,2.0
powiat włoszczowski,2015.0,37.0,32.0,4.0
powiat włoszczowski,2016.0,30.0,27.0,3.0
powiat włoszczowski,2017.0,41.0,35.0,4.0
powiat włoszczowski,2018.0,40.0,36.0,5.0
powiat włoszczowski,2019.0,37.0,34.0,7.0
powiat włoszczowski,2020.0,49.0,50.0,11.0
powiat włoszczowski,2021.0,22.0,21.0,4.0
powiat włoszczowski,2022.0,19.0,16.0,1.0
powiat stargardzki,2011.0,64.0,54.0,14.0
powiat stargardzki,2012.0,95.0,58.0,12.0
powiat stargardzki,2013.0,101.0,83.0,14.0
powiat stargardzki,2014.0,123.0,80.0,16.0
powiat stargardzki,2015.0,40.0,36.0,5.0
powiat stargardzki,2016.0,82.0,68.0,13.0
powiat stargardzki,2017.0,62.0,57.0,9.0
powiat stargardzki,2018.0,63.0,63.0,9.0
powiat stargardzki,2019.0,87.0,61.0,8.0
powiat stargardzki,2020.0,35.0,31.0,2.0
powiat stargardzki,2021.0,59.0,53.0,7.0
powiat stargardzki,2022.0,35.0,30.0,1.0
powiat Wrocław,2011.0,1473.0,1118.0,32.0
powiat Wrocław,2012.0,1377.0,1117.0,35.0
powiat Wrocław,2013.0,852.0,660.0,23.0
powiat Wrocław,2014.0,767.0,646.0,24.0
powiat Wrocław,2015.0,675.0,554.0,9.0
powiat Wrocław,2016.0,675.0,579.0,19.0
powiat Wrocław,2017.0,650.0,565.0,26.0
powiat Wrocław,2018.0,696.0,598.0,21.0
powiat Wrocław,2019.0,551.0,508.0,16.0
powiat Wrocław,2020.0,425.0,401.0,14.0
powiat Wrocław,2021.0,549.0,503.0,10.0
powiat Wrocław,2022.0,766.0,692.0,18.0
powiat giżycki,2011.0,68.0,63.0,10.0
powiat giżycki,2012.0,68.0,56.0,7.0
