,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Europe,Northern Europe,Finland,UNSDC/CTS/SDG/External/MD,296.000000000001,312,264,296,381,622,575,676,789,742,704,697,540,1164,1156,987,989,879,1101,793,149,54,8.63,9.08,7.66,7.69,10.19,30.47,28.47,32.16,52.95,60.19,55.42,48.46,35.08,76.58,72.70,63.18,67.24,51.02,57.99,19.71,2.69,0.98
Europe,Western Europe,France,UNSDC/Eurostat/CTS/Mol/WHO,1051,1047,1119,1348,1346,1350,1261,1410,1682,1443,1453,1367,1367,1334,1910,10825,9704,9561,8318,8817,8191,6674,1.79,1.77,1.88,2.26,2.24,2.23,2.07,2.30,2.73,2.32,2.33,2.18,2.17,2.11,3.47,71.00,65.37,69.19,65.69,66.66,64.47,31.96
Americas,Latin America and the Caribbean,French Guiana,NP/SAS/Mol Adjusted,,,,,58,45,84,56,64,60,,,,,,,,,35.96411,37.781709,38.69901,,,,,,29.94,22.36,60.93,39.58,44.15,40.39,,,,,,,,,13.00,13.30,13.30,
Oceania,Polynesia,French Polynesia,NP,,,,,,,3,7,9,1,,,,,,,,,,,,,,,,,,,1.09,2.52,3.21,0.35,,,,,,,,,,,,
Asia,Western Asia,Georgia,UNSDC/TransMonEE/CTS/MoI,239,263,292,216,812,934,957,980,753,571,539,116,62,0,338,,273,281,399,96,24,,5.60,6.35,7.19,5.38,28.70,34.74,33.40,34.41,26.82,20.76,19.53,3.04,1.63,0.00,30.16,,21.63,10.00,43.53,2.99,1.20,
Europe,Western Europe,Germany,SDG/CTS/NP/WHO,2728,2362,2344,2316,2368,3463,3416,3012,3425,5340,5195,5350,4924,5846,6984,6236,9696,8473,8346,6970,8180,5166,5.04,4.36,4.33,4.21,4.30,9.49,9.53,8.62,25.16,42.97,41.65,41.22,40.79,32.48,35.95,33.80,45.78,38.63,39.90,32.55,38.21,18.02
Africa,Sub-Saharan Africa,Ghana,Computed/WHO/NP/CTS,,433,401,436,452,393,412,399,430,427,422,423,560,551,543,525,549,609,500,571,1110.00000003,1206.00000002,,2.14,1.93,2.04,2.06,1.75,1.78,1.68,1.77,1.71,1.65,1.61,2.08,2.00,1.93,1.82,1.86,2.02,1.62,1.81,5.18,5.52
Europe,Southern Europe,Gibraltar,NP,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,0.00,3.20,,,,,,,,,,,
Europe,Southern Europe,Greece,UNSDC/Eurostat/CTS/UNODC Research/SDG/MD,,264,188,122,222,264,220,273,303,324,365,384,347,331,234,414,583,559,659,446,615,1024,,3.58,2.54,2.20,3.00,3.57,2.98,3.64,4.05,4.33,4.93,5.19,4.70,4.45,3.16,3.10,4.66,4.47,5.63,4.40,5.55,11.37
Americas,Northern America,Greenland,NSO,13,17,12,5,11,10,8,8,8,10,11,1,8,7,4,4,3,,,,,,23.14,30.15,21.21,8.81,19.34,17.58,14.08,14.11,14.14,17.72,19.52,1.78,14.24,12.48,7.15,7.16,5.37,,,,,
Americas,Latin America and the Caribbean,Grenada,OAS/CTS/UNODC Research,15,6,14,9,6,51,50,52,80,39,46,25,75,35,45,36,127,73,98,141,121,54,13.96,5.56,12.94,8.28,5.48,145.26,137.24,112.58,193.41,75.26,129.53,60.30,179.45,123.70,116.34,138.92,312.77,82.63,111.49,156.31,135.80,196.15
Americas,Latin America and the Caribbean,Guadeloupe,MD/NP/GOV,,,,,52,46,48,29,64,72,,27,31,35,21,39,23,,,,,,,,,,19.31,17.70,18.32,7.22,24.44,27.73,,6.70,7.69,8.70,5.24,9.77,5.78,,,,,
Oceania,Micronesia,Guam,NP/External,2,8,2,8,9,7,11,1,1,5,3,4,,,,,,,,7,,,1.25,4.95,1.23,4.90,5.49,4.26,6.68,0.61,0.61,3.04,1.82,2.41,,,,,,,,4.15,,
Americas,Latin America and the Caribbean,Guatemala,UNSDC/NP/CTS,2904,3230,3631,4237,9129,10861,11922,21132,22977,24169,22225,21086,19050,28197,27324,8320,24367,28819,40708,36978,28723,29258,24.74,26.90,29.54,33.71,106.49,123.83,133.30,535.88,585.83,563.91,512.84,463.66,439.88,425.48,391.46,,108.41,240.53,705.14,636.10,471.72,491.16
Africa,Sub-Saharan Africa,Guinea-Bissau,CTS,,,,,,,,,,,,,,,,,64,21,,,,,,,,,,,,,,,,,,,,,3.49,1.12,,,,
Americas,Latin America and the Caribbean,Guyana,CTS/UNODC Research/NSO/OAS,76,80,143,209,131,284,306,230,316,242,302,571,566,702,177,769,1607,1642,1543,1708,1928,1344,10.01,10.53,18.81,27.48,17.23,56.12,60.60,45.66,62.94,47.86,59.21,237.38,233.22,288.72,23.56,285.51,718.25,481.44,603.54,645.86,588.51,494.82
Americas,Latin America and the Caribbean,Haiti,OAS/DPKO/NP/CTS,,,,,,,,486,498,598,677,914,1033,2078,1960,2142,2056,,2228,,2560,2978,,,,,,,,5.16,5.20,6.15,6.88,9.18,10.22,30.49,28.34,30.53,28.90,,86.32,,34.13,39.22
